[14:16:00.624] [INFO   ] thread main starting.
[14:16:00.641] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:16:00.653] [SEVERE ] configuration file was loaded from resources directory.
[14:16:02.009] [INFO   ] thread dealer starting.
[14:16:02.011] [INFO   ] thread dealer starting.
[14:16:02.012] [SEVERE ] updating countdown to 60000
[14:16:02.018] [INFO   ] thread Player 0 starting.
[14:16:02.018] [INFO   ] thread Player 1 starting.
[14:16:02.144] [SEVERE ] placing card 0 in slot 2
[14:16:02.244] [SEVERE ] placing card 1 in slot 3
[14:16:02.345] [SEVERE ] placing card 2 in slot 9
[14:16:02.446] [SEVERE ] placing card 3 in slot 11
[14:16:02.548] [SEVERE ] placing card 4 in slot 0
[14:16:02.650] [SEVERE ] placing card 5 in slot 5
[14:16:02.751] [SEVERE ] placing card 6 in slot 8
[14:16:02.852] [SEVERE ] placing card 7 in slot 10
[14:16:02.954] [SEVERE ] placing card 8 in slot 7
[14:16:03.055] [SEVERE ] placing card 9 in slot 4
[14:16:03.156] [SEVERE ] placing card 10 in slot 6
[14:16:03.256] [SEVERE ] placing card 11 in slot 1
[14:16:03.257] [SEVERE ] updating countdown to 60000
[14:16:03.257] [SEVERE ] updating countdown to 60000
[14:16:03.258] [SEVERE ] updating countdown to 59999
[14:16:03.259] [SEVERE ] updating countdown to 59998
[14:16:03.259] [SEVERE ] updating countdown to 59998
[14:16:03.260] [SEVERE ] updating countdown to 59997
[14:16:03.261] [SEVERE ] updating countdown to 59996
[14:16:03.261] [SEVERE ] updating countdown to 59996
[14:16:03.262] [SEVERE ] updating countdown to 59995
[14:16:03.262] [SEVERE ] updating countdown to 59995
[14:16:03.263] [SEVERE ] updating countdown to 59994
[14:16:03.264] [SEVERE ] updating countdown to 59993
[14:16:03.266] [SEVERE ] updating countdown to 59992
[14:16:03.267] [SEVERE ] updating countdown to 59990
[14:16:03.269] [SEVERE ] updating countdown to 59988
[14:16:03.270] [SEVERE ] updating countdown to 59987
[14:16:03.270] [SEVERE ] updating countdown to 59987
[14:16:03.271] [SEVERE ] updating countdown to 59986
[14:16:03.271] [SEVERE ] updating countdown to 59986
[14:16:03.271] [SEVERE ] updating countdown to 59986
[14:16:03.272] [SEVERE ] updating countdown to 59985
[14:16:03.272] [SEVERE ] updating countdown to 59985
[14:16:03.272] [SEVERE ] updating countdown to 59985
[14:16:03.273] [SEVERE ] updating countdown to 59984
[14:16:03.273] [SEVERE ] updating countdown to 59984
[14:16:03.273] [SEVERE ] updating countdown to 59984
[14:16:03.274] [SEVERE ] updating countdown to 59983
[14:16:03.274] [SEVERE ] updating countdown to 59983
[14:16:03.274] [SEVERE ] updating countdown to 59983
[14:16:03.275] [SEVERE ] updating countdown to 59982
[14:16:03.275] [SEVERE ] updating countdown to 59982
[14:16:03.275] [SEVERE ] updating countdown to 59982
